YEAR,GEAR,portgrp,FuelCapacity,HorsePower,Length,Number of vessels
2009,Fixed gear,Monterey and Morro Bay,-999,-999,-999,-999
2009,Trawl,Astoria and Tillamook,8481.818182,465.4545455,72.04,22
2009,Trawl,Brookings and Crescent City,8133.333333,525.8333333,70.36083333,12
2009,Trawl,Coos Bay,6933.333333,435.7333333,65.262,15
2009,Trawl,Eureka,7600,406,65.4,10
2009,Trawl,Fort Bragg,5828.571429,498.2142857,63.44642857,7
2009,Trawl,Monterey and Morro Bay,4333.333333,635,65.33333333,3
2009,Trawl,Newport,16439.47368,782.3157895,76.75263158,19
2009,Trawl,San Francisco and Bodega Bay,5500,458.3333333,63.93333333,3
2009,Trawl,Washington,10015.25,652.375,78.2225,8
2010,Fixed gear,Monterey and Morro Bay,797,346,42.2,5
2010,Trawl,Astoria and Tillamook,8123.809524,441.9047619,71.3752381,21
2010,Trawl,Brookings and Crescent City,8400,590.5555556,74.22222222,9
2010,Trawl,Coos Bay,8468.75,486.625,68.870625,16
2010,Trawl,Eureka,7600,419,65.4,10
2010,Trawl,Fort Bragg,5828.571429,498.2142857,63.44642857,7
2010,Trawl,Monterey and Morro Bay,-999,-999,-999,-999
2010,Trawl,Newport,14021.875,692.75,74.09375,16
2010,Trawl,San Francisco and Bodega Bay,5750,440,65.95,4
2010,Trawl,Washington,12615.25,734.875,82.265,8
2011,Fixed gear,Astoria and Tillamook,-999,-999,-999,-999
2011,Fixed gear,Coos Bay,-999,-999,-999,-999
2011,Fixed gear,Fort Bragg,-999,-999,-999,-999
2011,Fixed gear,Monterey and Morro Bay,2403.5,415.75,50.67,10
2011,Fixed gear,Newport,5260,418,62.75,5
2011,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999,-999
2011,Fixed gear,Washington,19132.5,553.75,88.4275,4
2011,Trawl,Astoria and Tillamook,8168.75,464.6875,69.06875,16
2011,Trawl,Brookings and Crescent City,13328.57143,655.7142857,84.58285714,7
2011,Trawl,Coos Bay,8900,544.6,71.513,10
2011,Trawl,Eureka,9156.25,439.375,68.375,8
2011,Trawl,Fort Bragg,6583.333333,517.9166667,65.02083333,6
2011,Trawl,Monterey and Morro Bay,5750,400.8333333,67.13333333,3
2011,Trawl,Newport,15914.28571,620,72.74285714,7
2011,Trawl,San Francisco and Bodega Bay,5666.666667,421.6666667,64.33333333,3
2011,Trawl,Washington,20182.5,581.25,95.25,4
2012,Fixed gear,Astoria and Tillamook,11425,451.25,70.1775,4
2012,Fixed gear,Coos Bay,-999,-999,-999,-999
2012,Fixed gear,Fort Bragg,-999,-999,-999,-999
2012,Fixed gear,Monterey and Morro Bay,3122.222222,425.5555556,52.58888889,9
2012,Fixed gear,Newport,5474.75,617.5,62.25,4
2012,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999,-999
2012,Fixed gear,Washington,14782.5,612.5,82.2,4
2012,Trawl,Astoria and Tillamook,9407.142857,493.2142857,71.47142857,14
2012,Trawl,Brookings and Crescent City,8960,538,81.116,5
2012,Trawl,Coos Bay,7800,463.6,68.463,10
2012,Trawl,Eureka,9083.333333,459.1666667,67.47777778,9
2012,Trawl,Fort Bragg,7300,546.5,66.329,5
2012,Trawl,Monterey and Morro Bay,7500,413.3333333,63.76666667,3
2012,Trawl,Newport,15633.33333,556.6666667,70.36666667,6
2012,Trawl,San Francisco and Bodega Bay,-999,-999,-999,-999
2012,Trawl,Washington,12561.4,537,80.316,5
2013,Fixed gear,Astoria and Tillamook,3233.333333,363.3333333,57.3,3
2013,Fixed gear,Coos Bay,-999,-999,-999,-999
2013,Fixed gear,Fort Bragg,-999,-999,-999,-999
2013,Fixed gear,Monterey and Morro Bay,2493.75,460,49.5,4
2013,Fixed gear,Newport,5166.666667,620,56.66666667,3
2013,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999,-999
2013,Fixed gear,Washington,-999,-999,-999,-999
2013,Trawl,Astoria and Tillamook,9730.769231,505,72.97692308,13
2013,Trawl,Brookings and Crescent City,11200,658,83.74,5
2013,Trawl,Coos Bay,7091.666667,467.5833333,68.55833333,12
2013,Trawl,Eureka,8944.444444,458.3333333,67.53333333,9
2013,Trawl,Fort Bragg,6500,520.8333333,65.39166667,6
2013,Trawl,Monterey and Morro Bay,6444.444444,405,66.86666667,3
2013,Trawl,Newport,15866.66667,602,72.36666667,6
2013,Trawl,San Francisco and Bodega Bay,-999,-999,-999,-999
2013,Trawl,Washington,12901.75,495,79.825,4
2014,Fixed gear,Astoria and Tillamook,-999,-999,-999,-999
2014,Fixed gear,Brookings and Crescent City,-999,-999,-999,-999
2014,Fixed gear,Eureka,-999,-999,-999,-999
2014,Fixed gear,Fort Bragg,-999,-999,-999,-999
2014,Fixed gear,Monterey and Morro Bay,3733,440,49,3
2014,Fixed gear,Newport,-999,-999,-999,-999
2014,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999,-999
2014,Fixed gear,Washington,3866.666667,697.5,61.5,6
2014,Trawl,Astoria and Tillamook,9408.333333,491.6666667,72.14166667,12
2014,Trawl,Brookings and Crescent City,9960,517,79.74,5
2014,Trawl,Coos Bay,7500,497.25,69.4125,8
2014,Trawl,Eureka,8812.5,491.25,66.725,8
2014,Trawl,Fort Bragg,6183.333333,514.5833333,65.39166667,6
2014,Trawl,Monterey and Morro Bay,8166.666667,538.3333333,68.66666667,3
2014,Trawl,Newport,17860,602.5,73.24,5
2014,Trawl,San Francisco and Bodega Bay,-999,-999,-999,-999
2014,Trawl,Washington,-999,-999,-999,-999
