Stock or Complex,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arrowtooth Flounder,5800,5800,5800,5800,5800,5800,11267,10112,15174,12049,6157,5758,5497,5328
Black Rockfish - coastwide,835,1315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Rockfish (OR-CA),NA,NA,753,736,722,722,1000,1000,1000,1000,1000,1000,1000,1000
Black Rockfish (WA),NA,NA,540,540,540,540,490,464,426,415,411,409,402,404
Bocaccio S of 40º10’ N lat. ,20,250,307,308,218,218,288,288,263,274,320,337,349,362
Cabezon (CA),NA,NA,69,69,69,69,69,79,179,168,163,158,154,151
Cabezon (OR),NA,NA,NA,NA,NA,NA,NA,NA,50,48,47,47,47,47
California scorpionfish,NA,NA,NA,NA,175,175,175,155,135,126,120,117,114,111
Canary Rockfish,44,47,47,47,44,44,105,105,102,107,116,119,122,125
Chilipepper Rockfish,2000,2000,2000,2000,2000,2000,2885,2447,1981,1789,1690,1647,1628,1619
Cowcod S of 40º10’ N lat.,5,5,4,4,4,4,4,4,3,3,3,3,10,10
Darkblotched Rockfish,172,240,269,294,290,330,285,291,298,296,317,330,338,346
Dover Sole,7440,7440,7476,7564,16500,16500,16500,16500,25000,25000,25000,25000,50000,50000
English Sole,3100,3100,3100,3100,6237,6237,14326,9745,19761,10151,6815,5646,11040,7754
Lingcod - coastwide,651,735,2414,2414,6170,6170,5278,4829,NA,NA,NA,NA,NA,NA
Lingcod N of 42º N lat. ,NA,NA,NA,NA,NA,NA,NA,NA,2330,2151,NA,NA,NA,NA
Lingcod S of 42º N lat. ,NA,NA,NA,NA,NA,NA,NA,NA,2102,2164,NA,NA,NA,NA
Lingcod N of 40º10’ N lat. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3036,2878,2830,2719
Lingcod S of 40º10’ N lat. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,1063,1004,946
Longnose Skate,NA,NA,NA,NA,NA,NA,1349,1349,1349,1349,2000,2000,2000,2000
Longspine N  of 34°27',NA,NA,2461,2461,2220,2220,2231,2175,2119,2064,2009,1958,3170,3015
Longspine S  of 34°27',195,195,195,195,476,476,395,385,375,366,356,347,1001,952
Longspine Thornyhead - coastwide,2461,2461,2656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific Cod,3200,3200,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
Pacific Ocean Perch,377,444,447,447,150,150,189,200,180,183,150,153,158,164
Pacific Whiting (U.S ),148200,250000,269069,269545,242591,269545,135939,193935,290903,186037,269745,316206,NA,NA
Petrale Sole,2762,2762,2762,2762,2499,2499,2433,2393,976,1160,2592,2652,2816,2910
Sablefish N  of 36°,6500,7510,7486,7363,5723,5723,7052,6471,5515,5347,4012,4349,4793,5241
Sablefish S  of 36°,294,276,275,271,210,210,1371,1258,1298,1298,1439,1560,1719,1880
Shortbelly Rockfish,13900,13900,13900,13900,13900,13900,6950,6950,50,50,50,50,50,50
Shortspine N  of 34°27',NA,NA,999,1018,1634,1634,1608,1591,1573,1556,1540,1525,1745,1726
Shortspine S  of 34°27',NA,NA,NA,NA,421,421,414,410,405,401,397,393,923,913
Shortspine Thornyhead - coastwide,955,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiny Dogfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2101,2085
Splitnose Rockfish,461,461,461,461,461,461,461,461,1461,1538,1610,1670,1715,1746
Starry Flounder ,NA,NA,NA,NA,890,890,1004,1077,1360,1360,1520,1528,1534,1539
Widow Rockfish,832,284,285,289,368,368,522,509,600,600,1500,1500,2000,2000
Yelloweye Rockfish,22,22,26,27,23,20,17,17,17,17,18,18,18,19
Yellowtail Rockfish,3146,4320,3896,3681,4548,4548,4562,4562,4364,4371,4378,4382,11213,10634
Minor Rockfish North,2251,2251,2250,2250,2270,2270,22863,2283,NA,NA,NA,NA,NA,NA
Nearshore RF North,NA,NA,122,122,142,142,155,155,99,99,94,94,69,69
Shelf RF North,NA,NA,968,968,968,968,968,968,968,968,968,968,1944,1952
Slope RF North,NA,NA,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1669,1683
Minor Rockfish South,2015,1968,1968,1968,1904,1904,1990,1990,NA,NA,NA,NA,NA,NA
Nearshore RF South,NA,NA,615,615,564,564,650,650,1001,990,990,990,1114,1006
Shelf RF South,NA,NA,714,714,714,714,714,714,714,714,714,714,1624,1625
Slope RF South,NA,NA,639,639,626,626,626,626,626,626,618,622,687,689
Other Flatfish,7700,7700,4909,4909,4884,4884,4884,4884,4884,4884,4884,4884,8620,7496
Other Fish,14700,14700,7300,7300,7300,7300,5600,5600,5575,5575,4717,4697,242,243
